date,team_id,team_name,points
2026-04-06,T1,Team A,20.0
2026-04-06,T2,Team B,10.0
2026-04-06,T3,Team C,10.0
2026-04-06,T4,Team D,20.0
2026-04-06,T5,Team E,10.0
2026-04-06,T7,Team G,20.0
2026-04-06,T9,Team I,0.0
2026-04-07,T1,Team A,10.0
2026-04-07,T2,Team B,20.0
2026-04-07,T3,Team C,10.0
2026-04-07,T4,Team D,20.0
2026-04-07,T5,Team E,10.0
2026-04-07,T6,Team F,20.0
2026-04-07,T8,Team H,10.0
2026-04-07,T9,Team I,10.0
2026-04-08,T1,Team A,10.0
2026-04-08,T2,Team B,20.0
2026-04-08,T3,Team C,10.0
2026-04-08,T4,Team D,20.0
2026-04-08,T5,Team E,20.0
2026-04-08,T6,Team F,0.0
2026-04-08,T7,Team G,20.0
2026-04-08,T8,Team H,0.0
2026-04-08,T9,Team I,10.0
2026-04-09,T1,Team A,20.0
2026-04-09,T2,Team B,10.0
2026-04-09,T3,Team C,10.0
2026-04-09,T4,Team D,10.0
2026-04-09,T5,Team E,0.0
2026-04-09,T6,Team F,10.0
2026-04-09,T7,Team G,10.0
2026-04-09,T9,Team I,0.0
2026-04-10,T1,Team A,10.0
2026-04-10,T2,Team B,10.0
2026-04-10,T3,Team C,10.0
2026-04-10,T4,Team D,0.0
2026-04-10,T6,Team F,10.0
2026-04-10,T7,Team G,0.0
2026-04-11,T1,Team A,0.0
2026-04-11,T2,Team B,10.0
2026-04-11,T3,Team C,0.0
2026-04-11,T6,Team F,10.0
2026-04-12,T2,Team B,0.0
2026-04-12,T6,Team F,10.0
